ID_integron	ID_replicon	element	pos_beg	pos_end	strand	evalue	type_elt	annotation	model	type	default	distance_2attC	considered_topology
integron_01	NZ_CP135455.1	NZ_CP135455.1_90	83016	83363	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135455.1	attc_001	83466	83525	-1	5.6e-09	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135455.1	NZ_CP135455.1_91	83527	84306	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135455.1	attc_002	84322	84381	-1	3.9e-06	attC	attC	attc_4	complete	No	797.0	circ
integron_01	NZ_CP135455.1	attc_003	84642	84731	-1	0.00011	attC	attC	attc_4	complete	No	261.0	circ
integron_01	NZ_CP135455.1	NZ_CP135455.1_92	84726	85223	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135455.1	attI1	85229	85287	-1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135455.1	P_intI1	85312	85346	1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135455.1	Pc_int1	85338	85364	-1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135455.1	NZ_CP135455.1_93	85368	86381	1	1.7e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135509.1	NZ_CP135509.1_30	28153	28701	-1	NA	protein	protein	NA	CALIN	No	NA	circ
integron_01	NZ_CP135509.1	attc_001	28730	28819	-1	2.3e-05	attC	attC	attc_4	CALIN	No	NA	circ
integron_01	NZ_CP135509.1	NZ_CP135509.1_31	28839	29714	-1	NA	protein	protein	NA	CALIN	No	NA	circ
integron_01	NZ_CP135509.1	attc_002	29734	29805	-1	1.3e-05	attC	attC	attc_4	CALIN	No	915.0	circ
integron_01	NZ_CP135509.1	NZ_CP135509.1_32	29800	30399	-1	NA	protein	protein	NA	CALIN	No	NA	circ
integron_02	NZ_CP135509.1	NZ_CP135509.1_79	70263	70967	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_02	NZ_CP135509.1	attc_001	71097	71156	-1	4e-09	attC	attC	attc_4	complete	No	NA	circ
integron_02	NZ_CP135509.1	NZ_CP135509.1_80	71158	71937	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_02	NZ_CP135509.1	attc_002	71953	72012	-1	2.8e-06	attC	attC	attc_4	complete	No	797.0	circ
integron_02	NZ_CP135509.1	attc_003	72273	72362	-1	7.7e-05	attC	attC	attc_4	complete	No	261.0	circ
integron_02	NZ_CP135509.1	NZ_CP135509.1_81	72357	72854	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_02	NZ_CP135509.1	attI1	72860	72918	-1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_02	NZ_CP135509.1	P_intI1	72943	72977	1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_02	NZ_CP135509.1	Pc_int1	72969	72995	-1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_02	NZ_CP135509.1	NZ_CP135509.1_82	72999	74012	1	1.2e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135187.1	NZ_CP135187.1_57	45262	45579	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	attc_001	45599	45658	-1	2.7e-07	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135187.1	NZ_CP135187.1_58	45660	46370	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	attc_002	46373	46467	-1	0.077	attC	attC	attc_4	complete	No	715.0	circ
integron_01	NZ_CP135187.1	NZ_CP135187.1_59	46462	46935	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	attc_003	46950	47061	-1	3.1e-07	attC	attC	attc_4	complete	No	483.0	circ
integron_01	NZ_CP135187.1	NZ_CP135187.1_60	47078	47536	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	attc_004	47541	47621	-1	1.7e-06	attC	attC	attc_4	complete	No	480.0	circ
integron_01	NZ_CP135187.1	NZ_CP135187.1_61	47630	48430	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	attI1	48458	48516	-1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	P_intI1	48541	48575	1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	Pc_int1	48567	48593	-1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135187.1	NZ_CP135187.1_62	48597	49610	1	6.099999999999999e-25	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135271.1	NZ_CP135271.1_26	23474	24487	-1	3e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135271.1	Pc_int1	24490	24516	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135271.1	P_intI1	24508	24542	-1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135271.1	NZ_CP135271.1_27	24519	25118	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135271.1	attI1	24567	24625	1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135271.1	attc_001	25113	25245	1	3.4e-06	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135271.1	NZ_CP135271.1_28	25249	26037	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135271.1	attc_002	26084	26140	1	0.0043	attC	attC	attc_4	complete	No	839.0	circ
integron_01	NZ_CP135271.1	NZ_CP135271.1_29	26243	26590	1	NA	protein	protein	NA	complete	No	NA	circ
integron_02	NZ_CP135271.1	NZ_CP135271.1_172	142335	143354	-1	3.0999999999999997e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_02	NZ_CP135271.1	Pc_int1	143357	143383	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_02	NZ_CP135271.1	P_intI1	143375	143409	-1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_02	NZ_CP135271.1	NZ_CP135271.1_173	143456	144085	1	NA	protein	protein	NA	complete	No	NA	circ
integron_02	NZ_CP135271.1	attc_001	144080	144151	1	2.3e-07	attC	attC	attc_4	complete	No	NA	circ
integron_02	NZ_CP135271.1	NZ_CP135271.1_174	144313	145053	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_03	NZ_CP135271.1	NZ_CP135271.1_205	171443	171670	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_03	NZ_CP135271.1	attc_001	171740	171809	-1	2.7e-07	attC	attC	attc_4	complete	No	NA	circ
integron_03	NZ_CP135271.1	NZ_CP135271.1_206	171754	171879	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_03	NZ_CP135271.1	NZ_CP135271.1_207	171876	172457	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_03	NZ_CP135271.1	attI1	172481	172539	-1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_03	NZ_CP135271.1	P_intI1	172564	172598	1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_03	NZ_CP135271.1	Pc_int1	172590	172616	-1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_03	NZ_CP135271.1	NZ_CP135271.1_208	172620	173633	1	3e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135226.1	NZ_CP135226.1_49	42125	42886	-1	1.7000000000000002e-22	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135226.1	Pc_int1	42889	42915	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135226.1	P_intI1	42907	42941	-1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135226.1	NZ_CP135226.1_50	42918	43517	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135226.1	attI1	42966	43024	1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135226.1	attc_001	43512	43644	1	1.3e-06	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135226.1	NZ_CP135226.1_51	43648	44436	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135226.1	attc_002	44483	44539	1	0.0017	attC	attC	attc_4	complete	No	839.0	circ
integron_01	NZ_CP135226.1	NZ_CP135226.1_52	44642	44989	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135246.1	NZ_CP135246.1_95	87179	87676	-1	NA	protein	protein	NA	CALIN	No	NA	circ
integron_01	NZ_CP135246.1	attc_001	87691	87750	-1	8.8e-08	attC	attC	attc_4	CALIN	No	NA	circ
integron_01	NZ_CP135246.1	NZ_CP135246.1_96	87752	88540	-1	NA	protein	protein	NA	CALIN	No	NA	circ
integron_01	NZ_CP135246.1	attc_002	88544	88603	-1	4.8e-07	attC	attC	attc_4	CALIN	No	794.0	circ
integron_01	NZ_CP135246.1	NZ_CP135246.1_97	88598	89122	-1	NA	protein	protein	NA	CALIN	No	NA	circ
integron_01	NZ_CP135246.1	attc_003	89128	89222	-1	0.0042	attC	attC	attc_4	CALIN	No	525.0	circ
integron_01	NZ_CP135246.1	NZ_CP135246.1_98	89217	89690	-1	NA	protein	protein	NA	CALIN	No	NA	circ
integron_01	NZ_CP135211.1	NZ_CP135211.1_64	56539	57552	-1	1.7e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135211.1	Pc_int1	57555	57581	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135211.1	P_intI1	57573	57607	-1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135211.1	NZ_CP135211.1_65	57584	58183	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135211.1	attI1	57632	57690	1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135211.1	attc_001	58178	58310	1	1.9e-06	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135211.1	NZ_CP135211.1_66	58314	59102	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135211.1	attc_002	59149	59205	1	0.0025	attC	attC	attc_4	complete	No	839.0	circ
integron_01	NZ_CP135211.1	NZ_CP135211.1_67	59308	59655	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135220.1	NZ_CP135220.1_49	40835	41596	-1	1.7000000000000002e-22	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135220.1	Pc_int1	41599	41625	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135220.1	P_intI1	41617	41651	-1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135220.1	NZ_CP135220.1_50	41628	42227	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135220.1	attI1	41676	41734	1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135220.1	attc_001	42222	42354	1	1.2e-06	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135220.1	NZ_CP135220.1_51	42358	43146	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135220.1	attc_002	43193	43249	1	0.0016	attC	attC	attc_4	complete	No	839.0	circ
integron_01	NZ_CP135220.1	NZ_CP135220.1_52	43352	43699	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135232.1	NZ_CP135232.1_67	58169	58516	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135232.1	attc_001	58619	58675	-1	0.0018	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135232.1	NZ_CP135232.1_68	58722	59510	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135232.1	attc_002	59514	59646	-1	1.4e-06	attC	attC	attc_4	complete	No	839.0	circ
integron_01	NZ_CP135232.1	NZ_CP135232.1_69	59641	60240	-1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135232.1	attI1	60133	60191	-1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135232.1	P_intI1	60216	60250	1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135232.1	Pc_int1	60242	60268	-1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135232.1	NZ_CP135232.1_70	60272	61285	1	1.2999999999999998e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135262.1	NZ_CP135262.1_107	95787	96800	-1	1.8999999999999998e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135262.1	Pc_int1	96803	96829	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_01	NZ_CP135262.1	P_intI1	96821	96855	-1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_01	NZ_CP135262.1	attI1	96880	96938	1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_01	NZ_CP135262.1	NZ_CP135262.1_108	96883	97479	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135262.1	attc_001	97474	97533	1	2.6e-08	attC	attC	attc_4	complete	No	NA	circ
integron_01	NZ_CP135262.1	NZ_CP135262.1_109	97549	98328	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135262.1	attc_002	98330	98389	1	5.7e-09	attC	attC	attc_4	complete	No	797.0	circ
integron_01	NZ_CP135262.1	NZ_CP135262.1_110	98492	98839	1	NA	protein	protein	NA	complete	No	NA	circ
integron_02	NZ_CP135262.1	NZ_CP135262.1_139	122771	123784	-1	1.8999999999999998e-24	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_02	NZ_CP135262.1	Pc_int1	123787	123813	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
integron_02	NZ_CP135262.1	P_intI1	123805	123839	-1	NA	Promoter	Pint_1	NA	complete	No	NA	circ
integron_02	NZ_CP135262.1	attI1	123864	123922	1	NA	attI	attI_1	NA	complete	No	NA	circ
integron_02	NZ_CP135262.1	NZ_CP135262.1_140	123929	124426	1	NA	protein	protein	NA	complete	No	NA	circ
integron_02	NZ_CP135262.1	attc_001	124421	124510	1	0.00011	attC	attC	attc_4	complete	No	NA	circ
integron_02	NZ_CP135262.1	attc_002	124771	124830	1	2.4e-06	attC	attC	attc_4	complete	No	261.0	circ
integron_02	NZ_CP135262.1	NZ_CP135262.1_141	124933	125280	1	NA	protein	protein	NA	complete	No	NA	circ
integron_01	NZ_CP135234.1	NZ_CP135234.1_33	27096	27857	-1	2.1e-22	protein	intI	intersection_tyr_intI	complete	No	NA	circ
integron_01	NZ_CP135234.1	Pc_int1	27860	27886	1	NA	Promoter	Pc_1	NA	complete	No	NA	circ
