ID	Length	Gene	Product	EC	GO	COG	RefSeq	UniParc	UniRef
AB576781.2|integron_01|AB576781.2_22	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AB576781.2|integron_01|AB576781.2_23	259	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	2.7.7.47					UniRef50_Q51348,UniRef90_Q0PRF6
AB605179.1|integron_01|AB605179.1_47	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AB605179.1|integron_01|AB605179.1_48	259	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	2.7.7.47					UniRef50_Q51348,UniRef90_Q0PRF6
AJ639924.1|integron_01|AJ639924.1_31	419	cmlA1	chloramphenicol efflux MFS transporter CmlA1		GO:0016020,GO:0022857,GO:0042910,GO:0055085,GO:1990961				UniRef50_P32482,UniRef90_A0A1Y0F555
AJ639924.1|integron_01|AJ639924.1_32	263	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47			WP_011222095.1	UPI00004539CE	UniRef100_Q5W3H7,UniRef50_Q51348,UniRef90_Q8GLT3
AJ863570.1|integron_01|AJ863570.1_28	275	blaOXA-2	oxacillin-hydrolyzing class D beta-lactamase OXA-2	3.5.2.6	GO:0008658,GO:0008800,GO:0017001,GO:0046677		WP_001007673.1	UPI0000000BD0	UniRef100_P0A1V9,UniRef50_O84955,UniRef90_P0A1V9
AJ863570.1|integron_01|AJ863570.1_29	262	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	2.7.7.47			WP_011342946.1	UPI000053FD8C	UniRef100_Q4LCD9,UniRef50_Q9R3A9,UniRef90_D0ECS9
AM261282.1|integron_01|AM261282.1_29	157	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	1.5.1.3	GO:0004146				UniRef50_P95524,UniRef90_K9M352
AM261282.1|integron_01|AM261282.1_30	259	aadA11	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11	2.7.7.47					UniRef50_P0AG05,UniRef90_Q7WZ39
AM261282.1|integron_01|AM261282.1_31	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
